reqid,query,date
4450372853863371415,ra khoi tv,2022-11-24
-3183289492565636690,soạn văn 11,2022-11-24
-6169007995891391564,qldt.utc,2022-11-24
8601388779618407471,Uruguay vs Hàn Quốc - ngày 24/11/2022 - World Cup 2022,2022-11-24
-2719529384941559549,Ngan hàng VIB chi nhánh Thái bình,2022-11-24
5184552103344235119,anime,2022-11-24
5256720357889046893,gmail đăng nhập,2022-11-24
7836376350741187811,minoxidil 3 dạng xịt,2022-11-24
-5026680362509825506,mobiblog,2022-11-24
-8923770083556825499,mã giảm giá,2022-11-24
-7164141796089633169,qua trình hoạt động có mục đích làm cho những quy định],2022-11-24
4414225475063667928,fb,2022-11-24
-267189416356828733,youtube.com vn,2022-11-24
